q_index,reasoning,retrieval,notes,question
51,multi-hop,specialized,IDI 2024 countries scoring below 25,"According to the ICT Development Index (IDI) 2024, how many countries scored below 25?"
52,single-hop,specialized,ITU 2024 2G coverage % of global mobile pop,"What percentage of the global mobile population is covered by 2G networks in 2024, according to the International Telecommunication Union (ITU)?"
53,multi-hop,specialized,US states >25% adults 25+ with advanced degree (Census 2022),"According to the U.S. Census Bureau 2022 data, how many states had more than 25% of their population aged 25 and older holding an advanced degree?"
54,single-hop,specialized,FAO 2023 second-largest rice producer,"As reported by the Food and Agriculture Organization of the United Nations, which nation ranked as the world’s second‑largest rice producer in 2023?"
55,multi-hop,specialized,EPA: year 2010-2020 highest US crop CO2,"Based on data from the U.S. Environmental Protection Agency, which year between 2010 and 2020 saw the highest CO₂ emissions from crop cultivation in the United States?"
56,multi-hop,specialized,EPA 2023: lowest CO2 sector in Indiana,"According to 2023 data from the U.S. Environmental Protection Agency, which sector produced the lowest CO₂ emissions in the state of Indiana?"
57,single-hop,specialized,UN 2021 N.Africa women parliamentary seats %,"According to United Nations data from 2021, what percentage of national parliamentary seats in Northern Africa were held by women?"
58,multi-hop,specialized,UN: N.Africa infant mortality decline 2010-2021,"How much did the infant mortality rate (per 1,000 live births) decline in Northern Africa between 2010 and 2021, according to United Nations data?"
59,single-hop,specialized,UN 2015 N.America women parliamentary seats %,"According to United Nations data from 2015, what percentage of national parliamentary seats in Northern America were held by women?"
60,single-hop,specialized,DC 911 answer time on Apr 30 2025,"What was the average 911 call answer time in Washington D.C. on April 30, 2025?"
61,multi-hop,tricky-phrasing,Indian states with party >50% exactly twice (as of 2022),"As of 2022, how many Indian states had any political party win more than 50% of the vote in assembly elections exactly twice?"
62,multi-hop,common,US hotels with >3500 rooms,"How many hotels in the United States have more than 3,500 rooms?"
63,single-hop,specialized,PVOIL RON 92-III price VND on Apr 24 2025,"What was the official retail price per liter (in VND, inclusive of VAT and environmental tax) of RON 92-III gasoline on April 24, 2025, according to PetroVietnam Oil Corporation (PVOIL)?"
64,multi-hop,specialized,VT Summer 2025 tuition for two sons at different rates,"I am a father of two undergraduate sons enrolling in Virginia Tech's Virtual Campus for Summer 2025. One is a Virginia resident taking 6 credit hours, and the other is a non-resident taking 8 credit hours. What is the total tuition I need to pay for both?"
65,single-hop,specialized,Vietnamese professor in Apr 4 2023 YouTube on meditating monks,"Which Vietnamese professor explained the mysterious case of two monks said to have been meditating for over 400 years, as shown in a YouTube video posted on April 4, 2023?"
66,single-hop,specialized,Vietcombank USD cash buy rate May 1 2025,"According to Vietcombank's exchange rate table on May 1, 2025, what was the cash buying rate for the US dollar (USD)?"
67,multi-hop,specialized,PEI 2024: latest-founded non-US PE firm with $30B+ in 5yr,"According to Private Equity International's 2024 ranking, among all non-U.S.-based private equity firms with at least $30 billion raised over the past five years, which firm has the latest founding date?"
68,unanswerable,tricky-phrasing,CLT applies to means not raw samples,"If I randomly select i.i.d. samples from a distribution n times, the distribution of the sampled variables will approximately follow a normal distribution as n becomes very large. This statement is based on which theory?"
69,unanswerable,tricky-phrasing,no IOI contestant has 5G+1B,Who is currently the most highly decorated IOI contestant with 5 golds and 1 bronze medal?
70,multi-hop,tricky-phrasing,non-American agency with most X followers,Which non-American agency has the most followers on X?
71,single-hop,specialized,most recent month Lake Powell below 3550ft,In what month and year was the water level of Lake Powell last below 3550 feet?
72,single-hop,tricky-phrasing,"latest concert doc featuring Kendrick = Beyonce Renaissance, not his own",What is the title of the latest concert documentary film featuring Kendrick Lamar?
73,single-hop,tricky-phrasing,largest card payment processor = UnionPay not Visa,"Which organization is the world's largest card payment processing organization, providing credit cards, debit cards, and electronic payment systems?"
74,single-hop,specialized,Indonesian Name That Tune season count,"How many seasons are there in the Indonesian version of the game show ""Name That Tune""?"
75,multi-hop,fresh,active players in top-10 all-time international goal scorers,How many active players are currently in the top 10 of all-time men’s international goal scorers in soccer?
76,single-hop,specialized,most recent American airline Chapter 7,Which American airline has most recently filed for Chapter 7 bankruptcy protection?
77,multi-hop,tricky-phrasing,BAFTA most recent: >7 wins + most wins + most noms in year,Which is the most recent film to dominate the British Academy Film Awards by winning more than seven awards while also having the most total wins and nominations in its award year?
78,multi-hop,common,PDC Darts finals with two English players,How many times in history has the PDC World Darts Championship final featured two English players?
79,unanswerable,tricky-phrasing,"""most recent former president"" = Biden, no state felonies",How many state-level felonies has the most recent former president of the United States been convicted of?
80,multi-hop,tricky-phrasing,LDP PMs since Abe assassination,How many individuals from the Liberal Democratic Party have served as Prime Minister of Japan since the assassination of Shinzo Abe?
81,multi-hop,specialized,Schengen country with shortest sign-to-implement gap,Which Schengen Area country implemented the Schengen Agreement the soonest after signing it?
82,multi-hop,specialized,LA Metro stations on A Line AND another line,How many Los Angeles Metro Rail stations are served by both the A Line and at least one other Metro Rail line?
83,single-hop,common,last Bayern player in Ballon d'Or top-3,Who was the last Bayern Munich player to finish in the top three for the Ballon d'Or?
84,multi-hop,common,Ghibli features >=119min runtime,How many Studio Ghibli feature films have been released with a runtime of 119 minutes or longer?
85,multi-hop,common,Ghibli features with RT Tomatometer <90%,How many Studio Ghibli feature films have received a Rotten Tomatoes Tomatometer score below 90%?
86,multi-hop,specialized,EDGAR: largest % per-capita CO2 drop since 2000,"According to the Emissions Database for Global Atmospheric Research, which country has experienced the largest percentage drop in per capita fossil carbon emissions since 2000?"
87,single-hop,common,most widely used ride app in India = Uber,What is the most widely used ride booking application in India that offers a wide variety of vehicle choices and prices?
88,multi-hop,tricky-phrasing,"AOY multi-winners with most noms, each in different year","Among artists with multiple wins for Album of the Year at the Grammys, who has received the most nominations for this award, with each nomination occurring in a different year?"
89,multi-hop,specialized,Kannada films >=Rs100cr worldwide AND >=Rs50cr opening week,How many Kannada films have grossed at least ₹100 crore worldwide and also earned at least ₹50 crore during their opening week?
90,multi-hop,specialized,Barcelona #10 wearers since Maradona left in 1984,How many players have officially worn the No. 10 shirt for Barcelona's men's first team since Diego Maradona left the club in 1984?
91,single-hop,specialized,most recent LA County Sheriff killed in line of duty,Who was the most recent Sheriff of Los Angeles County killed in the line of duty?
92,multi-hop,specialized,third Asian country reporting clade Ib mpox in latest outbreak,Which was the third Asian country to report a case of clade Ib mpox during the most recent outbreak?
93,single-hop,specialized,days Bieber post held most-liked IG record,For exactly how many days did the Instagram post by Justin Bieber's account that once held the record for most-liked post on the platform remain at the top?
94,single-hop,specialized,days Kendall Jenner post held most-liked IG record,For exactly how many days did the Instagram post by Kendall Jenner's account that once held the record for most-liked post on the platform remain at the top?
95,single-hop,specialized,KOSPI largest single-day relative drop date,On what date did the KOSPI (Korea Composite Stock Price Index) experience its largest relative single-day drop?
96,multi-hop,specialized,21st century volcanic plumes >=18 miles,How many volcanic eruptions in the 21st century have produced a plume height of at least 18 miles?
97,multi-hop,common,Turing Award years with multiple winners,How many times has the Turing Award been given to multiple winners in the same year?
98,multi-hop,common,Super Bowls with attendance >70k,"How many Super Bowl games had an attendance of more than 70,000?"
99,multi-hop,tricky-phrasing,ex-presidents who ran post-loss and lost again,How many former US presidents ran again for president after losing a general election and lost on their second attempt?
100,multi-hop,tricky-phrasing,UN-member flags with most-recent adoption since 2010,How many national flags of countries recognized as United Nations (UN) member or observer states have had their most recent official adoption date since 2010?
101,single-hop,specialized,roller coaster that most recently lost tallest title,What is the name of the steel roller coaster that most recently lost its title as the tallest operating steel roller coaster in the world?
102,multi-hop,fresh,latest eruption date of worlds most active composite volcano,"On what date did the latest eruption of the world's most active composite volcano begin, which spewed fiery lava and ash thousands of feet into the sky?"
103,single-hop,specialized,WHO peak measles year,"According to the WHO, in which year were the highest number of measles cases recorded worldwide?"
104,multi-hop,tricky-phrasing,countries with single Summer Olympic medal AND it was gold,"As of now, which country or countries have won a single medal in the history of the Summer Olympic Games—and it was a gold?"
105,multi-hop,tricky-phrasing,badminton athletes with gold AND >2 total medals,How many badminton athletes have won Olympic Gold and more than 2 Olympic medals in total?
106,multi-hop,specialized,youngest age to set short course 400m freestyle WR since 2010,Who broke the short course world record in women's 400m freestyle at the youngest age from 2010 to now?
107,single-hop,specialized,most recent female middle schooler representing China at IMO,Who is the most recent female middle school student to represent China in the International Mathematical Olympiad (IMO) contest?
108,multi-hop,tricky-phrasing,movies with budget >=$350M that were not top-grossing in their year,How many movies with an estimated net budget of $350 million or more were not the highest-grossing film of their release year?
109,single-hop,specialized,purchaser in largest failed M&A,Who was the purchaser in the largest confirmed merger or acquisition that ultimately failed to complete?
110,single-hop,specialized,total branches of Akhil Bharatiya Marathi Sahitya Mahamandal,What is the total number of branches of the Akhil Bharatiya Marathi Sahitya Mahamandal?
