q_index,reasoning,retrieval,notes,question
271,multi-hop,specialized,Concepcion v. US sentencing law; last 3 co-sponsors; Mississippi grad,"In Concepcion v. United States, the Supreme Court issued a decision on whether a district court could consider intervening legal and factual developments when deciding whether to impose a reduced sentence on an individual under a particular Congressional act. Of the last three senators to co-sponsor the bill that became the law in question, who graduated from University of Mississippi?"
309,single-hop,specialized,Statistics Canada table 42-10-0037-01; >50% affordable childcare; east Ontario,"For the provinces east of Ontario (but not including Ontario itself), which of those had over 50% for children with affordable child care in 2022? Use table 42-10-0037-01 provided by Statistics Canada, ensuring that the population analyzed are among those using before or after school care and who had difficulties finding care."
318,single-hop,common,BLS gasoline per gallon >4.00 non-seasonally 2020-23,"In what months did the consumer price index (not seasonally adjusted) for Gasoline, all types, per gallon in the average US city exceed 4.000 between 2020 and 2023? Use the data provided by the US Bureau of Labor Statistics."
345,multi-hop,specialized,NZ AES income/expenditure ≥5% increase; >$2T assets years,"Based on the Annual Enterprise Survey (Provisional) results of New Zealand businesses, in which years between 2018 and 2022 did the following metrics increase at least 5% from the previous year; Total Income for all AES Industries, and Total Expenditure for all AES industries. Of those years, which ones had total business asset value of more than $2 trillion NZD."
347,multi-hop,specialized,Tropical cyclones Myrtle Beach 1953-2023; ≥15 max rainfall contiguous US,"Out of all of the tropical cyclones whose storm track passed within 15 nautical miles of Myrtle Beach, SC between 1953 and 2023, which ones produced a maximum rainfall of at least 15 inches somewhere in the contiguous United States? The location of maximum rainfall does not need to be within 15 nautical miles of Myrtle Beach, SC, only the storm track does."
349,single-hop,specialized,Missouri Board Pharmacy 2023 newsletter; drug storage temperature rule #,"According to one of the three newsletters published in 2023 by the Missouri Board of Pharmacy on their website, what is the specific number of the Missouri State Board of Pharmacy general rule that states that “temperatures in drug storage areas must be recorded and reviewed at least once every day the pharmacy is in operation…”"
351,single-hop,common,IMF gross national savings % GDP 2017-19; highest absolute change,"According to the IMF, which of the following countries saw the highest absolute change in gross national savings, as a percentage of GDP, between the years of 2017 and 2019? Germany, France, Spain, Belgium, Netherlands, Italy, Switzerland, Portugal, Poland. Answer with the country names only."
406,single-hop,common,Top 5 car crash death states 2023; seatbelt use <90%,"Of the top 5 states that have the most deaths by car crash in 2023, which had a seat belt use of less than 90% in 2023?"
474,single-hop,common,Electoral votes above-average; GOP 2016 → DEM 2020,"Which U.S. Electoral College jurisdictions (i.e., all U.S. states plus D.C.) with an above-average number of electoral votes, voted for the Republican presidential candidate in the 2016 election but then for the Democratic presidential candidate in the 2020 election?"
517,single-hop,common,Hawaii county motor vehicle theft per 100k 2014-2020 drop,"Which Hawaii county experienced the biggest drop  in motor vehicle theft per 100,000 residents from 2014 to 2020?"
557,single-hop,specialized,Oakville federal elections since 2000; runner-up votes; biggest 1st-3rd gap,Comparing the Canadian federal elections since 2000 for the riding of Oakville. How many votes did the runner up get in the election that had the biggest vote share difference between 1st and 3rd place?
568,single-hop,specialized,Lomography Kino B&W 35mm; Ilfosol 3 1+9; shortest dev time,"I'm developing a large scale analogue photography project. I want to use films from the Lomography Kino B&W family in 35mm. My lab only has Ilfosol 3 in a 1+9 dilution for the developer. I'll be processing the film at the official box speed and will not be rating the film at a different ISO other than the official one. I'm looking to find out which film takes the least amount of time to develop according to the massive dev chart (using the official box speed only). Since this is such a large scale project, the development time really matters to me so I need to find the film with the lowest development time."
572,single-hop,specialized,Santa Clara 2012 status report; >30% produce <65% vegetables,"According to the Status of Latino/Hispanic Health: Santa Clary County 2012 report, which retail store types had over 30% with ""at least one produce item priced under the county average,"" while also having under 65% with a ""wide variety of vegetables available""?"
573,single-hop,specialized,UTA 2022 report; rail >bus AND total <46M passengers 2013-22,"Between 2013 and 2022, which years did the Utah Transit Authority report more passengers on the Rail service than the Bus service, but less than 46,000,000 total passengers for all UTA services, according to the 2022 Annual Comprehensive Financial Report?"
595,single-hop,specialized,US Census S2101 veteran status; Baltimore District 3 greatest civilian 18+,"According to Official US Census Bureau ""Veteran Status"" S2101 ACS 5-year estimate tables, in which year from 2010 to 2019 (inclusive) was the estimated civilian population (aged 18 years or older) the greatest for District 3, Baltimore County, Maryland?"
600,multi-hop,specialized,EU top-10 UK visitors 2021-23; GDP >40k 2023; 1958 members,"Out of the EU countries (as of 2024) that were in the ""top 10 of overseas residents' visit to the UK"" for each year during 2021-2023, according to the Office for National Statistics, and had a GDP per capita of more than $40,000 in 2023, according to the World Bank, which became member states of the EU in 1958?"
622,single-hop,specialized,NASDAQ top-5 market cap 2023; net income & EPS up vs 2022,"At the end of 2023, out of the top 5 common stocks listed on the NASDAQ by market cap, which of these had an increase in net income when compared to 2022, and an increase in the EPS ratio? Provide their symbols only."
623,single-hop,specialized,Williams-Sonoma/La-Z-Boy/Ethan Allen 2023 10K; highest intl assets %,"For the fiscal year ended in 2023, among Williams-Sonoma, La-Z-Boy, and Ethan Allen Interiors, which company had the highest percentage of long-lived assets in international markets outside the USA, according to each company's annual 10K filings on the U.S. Securities and Exchange Commission (SEC) website?"
642,multi-hop,specialized,SCOTUS argued pre-Gorsuch; decided with him; 5-3 case dissent authors,"I'm looking for Court cases argued during the 30 days before Gorsuch joined SCOTUS, but which were decided while he was there (but couldn't vote). I believe one of those cases was fairly close (5-3). Can you tell me the name of this case, but also who wrote the dissent(s). For the dissents, just list the last name, in alpha order if there are multiples."
644,single-hop,common,UK ONS unemployment ≥5% & CPIH ≥2.5% 2010-20,"I'm trying to find out what the correlation between unemployment and inflation is in the uk. Using data from the office for national statistics, please list any years between 2010 and 2020 that had an annual unemployment rate of 5% or more, and a CPIH annual rate of 2.5% or more."
646,single-hop,common,FWS 2023 threatened/endangered non-plant; west Mississippi; shortest wingspan,"Of the creatures, not plants, that became listed as threatened or endangered species in 2023 with the U.S. Fish and Wildlife Service, with the specification ""wherever found"", and they are believed to be only in states west of the Mississippi River in the USA, not including Arkansas, which of them has the shortest wingspan?"
652,multi-hop,common,CDC top-15 COVID deaths all 2020/21/22; never top-15 heart disease,"Using the CDC data on mortality by State (https://www.cdc.gov/nchs/pressroom/stats_of_the_states.htm), of the States that were in the top 15 COVID death rates for all three of the years 2020, 2021, and 2022, which ones were never in the top 15 of heart disease mortality rates across those same years?"
657,multi-hop,common,Foreign-born HS 16+ employed >15h > US-born; lowest HS completion rate 25+,"Of the years between 2000 and 2019 (inclusive) during which the percentage of foreign-born high school students age 16+ who were employed & working 15+ hours per week exceeded the percentage of US-born students within the same category, which of those years had the lowest rate of high school completion for all people age 25+?"
660,single-hop,specialized,Amphastar/Corcept/Jazz SEC 2023; largest operating margin,"Using the SEC website, among Amphastar Pharmaceuticals, Corcept Therapeutics, and Jazz Pharmaceuticals, which company had the largest operating margin for the fiscal year ended December 31, 2023?"
666,single-hop,specialized,Texas legislator HB 852 & HB 100; 58th & 59th sessions,Which Texas legislator authored HB 852 and HB 100 in the 58th and 59th sessions?
667,single-hop,fresh,Goodreads Choice Awards fiction 2020-23; smallest winner-runner-up gap,What year between 2020 and 2023 inclusive had the smallest difference between the winner and the runner-up in the fiction category for the Goodreads Choice Awards?
668,single-hop,common,CDC Ohio top-5 drug overdose AND suicide deaths 2020/21/22,"According to the CDC's Drug Overdose Mortality by State and Suicide rates by state, in what years was Ohio in the top 5 (according to the number of deaths) for BOTH of the lists from 2020, 2021, and 2022 reporting?"
669,multi-hop,common,1977 Trinity computer company; designer; display patent floppy disk year,"Take the company from the '1977 Trinity' of personal computers who is still in business under the same name. Then, for that company's computer, find its lead designer. List the number for the patent they invented that related to a computer's display that was filed in the same year the 'Trinity' computer was upgraded with a floppy disk drive."
674,single-hop,common,KBB compact SUVs 2023; cargo ≥70 cu ft; fuel ≥28 combined,"Of the cars from Kelley's Blue Book list of Best Compact SUVs of 2023, which can offer a cargo volume of at least 70 cubic feet and a combined fuel economy at least 28? Only use data from Kelley's blue book. If a range is provided for either cargo volume or fuel economy, use the high end of the range. Give me a bulleted list with no other text."
694,multi-hop,common,Census 2022 poverty top-3 states; USDA food insecurity drop 2011-20,"From the report titled, ""Poverty in States and Metropolitan
Areas: 2022"" by the Census Bureau, identify the three states with the largest raw number of people living below the poverty line as of 2022. According to usda.gov, which of the previously identified three states had the highest drop in their food insecurity rate between their 2011-13 and 2018-20 averages? Provide just the name of the state in your answer."
696,multi-hop,specialized,WHO air quality 2023; EPI 2022 sanitation/water both rank 1,"Which, if any, of the countries that met WHO air quality standards in the IQ Air Quality Reports 2023 also had 2022 EPI sanitation / drinking water and water resources ranks of 1?"
707,multi-hop,common,Best Picture 2000-20; <$100M worldwide; English; no acting nominees,"As of December 31, 2023, list all feature-length films that were released in the United States between January 1, 2000, and December 31, 2020, that won the Oscar for Best Picture, had a worldwide gross revenue less than $100 million, according to Box Office Mojo's reported worldwide lifetime grosses, were produced primarily in the English language according to IMDb, and do not have any acting nominees at the same Oscar ceremony where they won Best Picture."
