q_index,query_type,notes,question
27,direct-lookup,Q2 FY2023 restructuring liability nature and purpose,What is the nature & purpose of AMCOR's restructuring liability as oF Q2 of FY2023 close?
28,direct-lookup,FY2023 adjusted non-GAAP EBITDA direct extract,What Was AMCOR's Adjusted Non GAAP EBITDA for FY 2023
29,calculation,FY2023 vs FY2022 organic sales change adjusted,"How much was the Real change in Sales for AMCOR in FY 2023 vs FY 2022, if we exclude the impact of FX movement, passthrough costs and one-off items?"
30,calculation,FY2015 D&A percent margin calculation P&L CFO,"Answer the following question as if you are an equity research analyst and have lost internet connection so you do not have access to financial metric providers. According to the details clearly outlined within the P&L statement and the statement of cash flows, what is the FY2015 depreciation and amortization (D&A from cash flow statement) % margin for AMD?"
31,conceptual,FY22 quick ratio liquidity assessment judgment,"Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick ratio is not relevant to measure liquidity, please state that and explain why."
32,direct-lookup,FY22 major products and services direct list,What are the major products and services that AMD sells as of FY22?
33,conceptual,FY22 revenue change driver attribution analysis,What drove revenue change as of the FY22 for AMD?
34,conceptual,FY22 operating margin change driver analysis,"What drove operating margin change as of the FY22 for AMD? If operating margin is not a useful metric for a company like this, then please state that and explain why."
35,comparative,FY22 cash flow activity comparison which largest,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for AMD in FY22?"
36,comparative,FY21-FY22 non-Embedded segment sales proportion increase,"From FY21 to FY22, excluding Embedded, in which AMD reporting segment did sales proportionally increase the most?"
37,direct-lookup,FY22 customer concentration disclosure statement,Did AMD report customer concentration in FY22?
38,direct-lookup,2022 registered debt securities exchange traded list,Which debt securities are registered to trade on a national securities exchange under American Express' name as of 2022?
39,direct-lookup,2022 primary geographies operational presence list,What are the geographies that American Express primarily operates in as of 2022?
40,comparative,2022 operating margin profile improvement assessment,"Does AMEX have an improving operating margin profile as of 2022? If operating margin is not a useful metric for a company like this, then state that and explain why."
41,conceptual,FY2022 gross margin utility and driver judgment,"What drove gross margin change as of the FY2022 for American Express? If gross margin is not a useful metric for a company like this, then please state that and explain why."
42,calculation,FY2021-FY2022 effective tax rate change delta,How much has the effective tax rate of American Express changed between FY2021 and FY2022?
43,direct-lookup,2022 balance sheet largest liability identification,What was the largest liability in American Express's Balance Sheet in 2022?
44,conceptual,2022 card member retention trend assessment judgment,Was American Express able to retain card members during 2022?
45,direct-lookup,FY2020 cash dividends paid CFO statement extract,How much (in USD billions) did American Water Works pay out in cash dividends for FY2020? Compute or extract the answer by primarily using the details outlined in the statement of cash flows.
46,calculation,FY2021 unadjusted EBITDA operating income D&A sum,"Basing your judgments off of the cash flow statement and the income statement, what is American Water Works's FY2021 unadjusted operating income + depreciation and amortization from the cash flow statement (unadjusted EBITDA) in USD millions?"
47,conceptual,FY2022 positive working capital relevance assessment,"Does American Water Works have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why."
48,calculation,FY2015-2017 net profit margin 3-year average,"In agreement with the information outlined in the income statement, what is the FY2015 - FY2017 3 year average net profit margin (as a %) for Best Buy? Answer in units of percents and round to one decimal place."
49,direct-lookup,FY2019 year-end inventories balance sheet extract,What is the year end FY2019 total amount of inventories for Best Buy? Answer in USD millions. Base your judgments on the information provided primarily in the balance sheet.
50,comparative,Gross margin historical consistency fluctuation review,"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why."
51,direct-lookup,FY2023 FY2022 FY2021 major acquisitions list,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?"
52,comparative,FY2023 cash flow activity comparison largest source,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Best Buy in FY2023?"
53,comparative,Cash equivalents decline FY2023 to Q2 FY2024,Was there any drop in Cash & Cash equivalents between FY 2023 and Q2 of FY2024?
54,comparative,Store count change Q2 FY2024 vs FY2023,Was there any change in the number of Best Buy stores between Q2 of FY2024 and FY2023?
55,direct-lookup,Q2 FY2024 domestic USA product category top line,Which Best Buy product category performed the best (by top line) in the domestic (USA) Market during Q2 of FY2024?
56,calculation,FY2016 working capital ratio current assets liabilities,"Considering the data in the balance sheet, what is Block's (formerly known as Square) FY2016 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places."
57,calculation,FY2019-FY2020 total revenue growth rate percent,What is the FY2019 - FY2020 total revenue growth rate for Block (formerly known as Square)? Answer in units of percents and round to one decimal place. Approach the question asked by assuming the standpoint of an investment banking analyst who only has access to the statement of income.
58,direct-lookup,FY2020 operating cash flow CFO statement extract,"Using the cash flow statement, answer the following question to the best of your abilities: how much did Block (formerly known as Square) generate in cash flow from operating activities in FY2020? Answer in USD millions."
59,direct-lookup,FY2018 year-end net PP&E balance sheet extract,"We need to calculate a financial metric by using information only provided within the balance sheet. Please answer the following question: what is Boeing's year end FY2018 net property, plant, and equipment (in USD millions)?"
60,direct-lookup,FY2022 product service categories >20% revenue share,Are there any product categories / service categories that represent more than 20% of Boeing's revenue for FY2022?
61,direct-lookup,FY2022 material ongoing legal battles disclosure,Has Boeing reported any materially important ongoing legal battles from FY2022?
62,comparative,FY2022 gross margin utility and trend assessment,"Does Boeing have an improving gross margin profile as of FY2022? If gross margin is not a useful metric for a company like this, then state that and explain why."
63,direct-lookup,FY2022 primary customers identification list,Who are the primary customers of Boeing as of FY2022?
64,conceptual,Business cyclicality assessment and judgment,Is Boeing's business subject to cyclicality?
65,direct-lookup,FY2023 production rate changes forecast disclosure,What production rate changes is Boeing forecasting for FY2023?
66,comparative,FY2022 vs FY2021 effective tax rate comparison,How does Boeing's effective tax rate in FY2022 compare to FY2021?
67,calculation,FY2017 return on assets ROA calculation,What is the FY2017 return on assets (ROA) for Coca Cola? ROA is defined as: FY2017 net income / (average total assets between FY2016 and FY2017). Round your answer to two decimal places. Give a response to the question by relying on the details shown in the balance sheet and the P&L statement.
68,calculation,FY2021 COGS percent margin calculation,What is Coca Cola's FY2021 COGS % margin? Calculate what was asked by utilizing the line items clearly shown in the income statement.
69,calculation,FY2022 dividend payout ratio cash CFO computation,What is Coca Cola's FY2022 dividend payout ratio (using total cash dividends paid and net income attributable to shareholders)? Round answer to two decimal places. Answer the question asked by assuming you only have access to information clearly displayed in the cash flow statement and the income statement.
70,calculation,FY2020 days payable outstanding DPO calculation,"Based on the information provided primarily in the balance sheet and the statement of income, what is FY2020 days payable outstanding (DPO) for Corning? DPO is defined as: 365 * (average accounts payable between FY2019 and FY2020) / (FY2020 COGS + change in inventory between FY2019 and FY2020). Round your answer to two decimal places."
71,calculation,FY2019-2021 operating income margin 3-year average,"Taking into account the information outlined in the income statement, what is the FY2019 - FY2021 3 year average unadjusted operating income % margin for Corning? Answer in units of percents and round to one decimal place."
72,calculation,FY2021-FY2022 effective tax rate change delta,How much has the effective tax rate of Corning changed between FY2021 and FY2022?
73,conceptual,FY2022 working capital relevance assessment judgment,"Does Corning have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why."
74,direct-lookup,FY2021 year-end total assets balance sheet extract,"Using only the information within the balance sheet, how much total assets did Costco have at the end of FY2021? Answer in USD millions."
75,calculation,FY2018 fixed asset turnover ratio calculation,What is the FY2018 fixed asset turnover ratio for CVS Health? Fixed asset turnover ratio is defined as: FY2018 revenue / (average PP&E between FY2017 and FY2018). Round your answer to two decimal places. Calculate what was asked by utilizing the line items clearly shown in the P&L statement and the balance sheet.
76,conceptual,FY2022 capital intensity assessment and judgment,Is CVS Health a capital-intensive business based on FY2022 data?
77,direct-lookup,2022 2021 2020 material legal battles disclosure,"Has CVS Health reported any materially important ongoing legal battles from 2022, 2021 and 2020?"
78,direct-lookup,Q2 FY2022 common shareholder dividend payment history,Has CVS Health paid dividends to common shareholders in Q2 of FY2022?
79,conceptual,New CEO prior CEO experience similarity assessment,Does Foot Locker's new CEO have previous CEO experience in a similar company to Footlocker?
80,comparative,Board nominee vote comparison across candidates,Were there any board member nominees who had substantially more votes against joining than the other nominees?
81,calculation,CCC multi-step formula DIO + DSO - DPO,What is the FY2019 cash conversion cycle (CCC) for General Mills? CCC is defined as: DIO + DSO - DPO. DIO is defined as: 365 * (average inventory between FY2018 and FY2019) / (FY2019 COGS). DSO is defined as: 365 * (average accounts receivable between FY2018 and FY2019) / (FY2019 Revenue). DPO is defined as: 365 * (average accounts payable between FY2018 and FY2019) / (FY2019 COGS + change in inventory between FY2018 and FY2019). Round your answer to two decimal places. Address the question by using the line items and information shown within the income statement and the balance sheet.
82,calculation,Working capital ratio current assets / liabilities,"By drawing conclusions from the information stated only in the statement of financial position, what is General Mills's FY2020 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places."
83,calculation,Free cash flow operations cash minus capex,"According to the information provided in the statement of cash flows, what is the FY2020 free cash flow (FCF) for General Mills? FCF here is defined as: (cash from operations - capex). Answer in USD millions."
84,calculation,Retention ratio formula net income minus dividends,We want to calculate a financial metric. Please help us compute it by basing your answers off of the cash flow statement and the income statement. Here's the question: what is the FY2022 retention ratio (using total cash dividends paid and net income attributable to shareholders) for General Mills? Round answer to two decimal places.
85,conceptual,High growth company classification judgment,Are JnJ's FY2022 financials that of a high growth company?
86,conceptual,Gross margin driver analysis and relevance assessment,"What drove gross margin change as of FY2022 for JnJ? If gross margin is not a useful metric for a company like this, then please state that and explain why."
87,calculation,Inventory turnover ratio with relevance assessment,Roughly how many times has JnJ sold its inventory in FY2022? Calculate inventory turnover ratio for FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.
88,conceptual,EPS growth acceleration forecast prediction,Is growth in JnJ's adjusted EPS expected to accelerate in FY2023?
89,comparative,US vs international sales growth comparison,How did JnJ's US sales growth compare to international sales growth in FY2022?
90,direct-lookup,Discontinued operation segment identification,"Which business segment of JnJ will be treated as a discontinued operation from August 30, 2023 onward?"
91,direct-lookup,Separation gain amount Kenvue spin,"What is the amount of the gain accruing to JnJ as a result of the separation of its Consumer Health business segment, as of August 30, 2023?"
92,direct-lookup,Cash proceeds Kenvue separation amount,"What is the amount of the cash proceeds that JnJ realised from the separation of Kenvue (formerly Consumer Health business segment), as of August 30, 2023?"
93,comparative,Net earnings percent sales Q2 YoY comparison,Did JnJ's net earnings as a percent of sales increase in Q2 of FY2023 compared to Q2 of FY2022?
94,comparative,Business segment lowest net revenue ranking,Which of JPM's business segments had the lowest net revenue in 2021 Q1?
95,calculation,Book value per share tangible liquidation,"If JPM went bankrupted by the end by 2021 Q1 and liquidated all of its assets to pay its shareholders, how much could each shareholder get?"
96,conceptual,Gross margin consistency and relevance assessment,"Are JPM's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why."
97,comparative,Business segment highest net income ranking,"In 2022 Q2, which of JPM's business segments had the highest net income?"
98,comparative,VaR risk metric QoQ comparison prior year,"Looking at VaR, did the risk that JPM faced in the second fiscal quarter of 2023 decrease compared to the same period in the prior year?"
99,calculation,Inventory turnover COGS average inventory,What is Kraft Heinz's FY2019 inventory turnover ratio? Inventory turnover ratio is defined as: (FY2019 COGS) / (average inventory between FY2018 and FY2019). Round your answer to two decimal places. Please base your judgments on the information provided primarily in the balance sheet and the P&L statement.
100,calculation,Asset turnover revenue average total assets,"We need to calculate a reasonable approximation (or exact number if possible) of a financial metric. Basing your judgment by information plainly provided in the balance sheet and the P&L statement, what is Lockheed Martin's FY2020 asset turnover ratio? Asset turnover ratio is defined as: FY2020 revenue / (average total assets between FY2019 and FY2020). Round your answer to two decimal places."
101,calculation,Net working capital current assets liabilities,What is Lockheed Martin's FY2021 net working capital? Define net working capital as total current assets less total current liabilities. Answer in USD millions. Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the balance sheet.
102,calculation,Two year revenue CAGR FY2020-2022,What is Lockheed Martin's 2 year total revenue CAGR from FY2020 to FY2022 (in units of percents and round to one decimal place)? Provide a response to the question by primarily using the statement of income.
103,direct-lookup,Year end FY2018 accounts payable amount,"Basing your judgments off of the balance sheet, what is the year end FY2018 amount of accounts payable for MGM Resorts? Answer in USD millions."
104,calculation,Three year capex percent revenue average,What is the FY2018 - FY2020 3 year average of capex as a % of revenue for MGM Resorts? Answer in units of percents and round to one decimal place. Please utilize information provided primarily within the statement of cash flows and the statement of income.
105,direct-lookup,FY2022 common shareholder dividend payment,Has MGM Resorts paid dividends to common shareholders in FY2022?
106,comparative,Regional EBITDAR contribution ranking FY2022,Which region had the Highest EBITDAR Contribution for MGM during FY2022?
107,calculation,Interest coverage adjusted EBIT / expense,What was MGM's interest coverage ratio using FY2022 Adjusted EBIT as the numerator and annual Interest Expense as the denominator?
108,comparative,Regional topline performance worst ranking,Which region had the worst topline performance for MGM during FY2022?
109,comparative,Short term debt investments largest allocation,Which type of debt received the largest investment among the short term investments for MGM in H1 FY2023?
110,direct-lookup,FY2016 COGS direct statement extraction,What is the FY2016 COGS for Microsoft? Please state answer in USD millions. Provide a response to the question by primarily using the statement of income.
111,comparative,Debt balance sheet FY2023 vs FY2022,Has Microsoft increased its debt on balance sheet between FY2023 and the FY2022 period?
112,calculation,Unadjusted EBITDA percent margin formula,We want to calculate a financial metric. Please help us compute it by basing your answers off of the statement of income and the statement of cash flows. Here's the question: what is the FY2015 unadjusted EBITDA % margin for Netflix? Calculate unadjusted EBITDA using unadjusted operating income and D&A (from cash flow statement).
113,direct-lookup,FY2017 total current liabilities direct extract,What is Netflix's year end FY2017 total current liabilities (in USD millions)? Base your judgments on the information provided primarily in the balance sheet.
114,calculation,Three year COGS percent revenue average,"We need to calculate a reasonable approximation (or exact number if possible) of a financial metric. Basing your judgment by information plainly provided in the statement of income, what is Nike's three year average of cost of goods sold as a % of revenue from FY2016 to FY2018? Answer in units of percents and round to one decimal place."
115,direct-lookup,FY2019 total current assets direct statement,"According to the details clearly outlined within the balance sheet, how much total current assets did Nike have at the end of FY2019? Answer in USD millions."
116,calculation,Inventory turnover COGS average inventory,"When primarily referencing the income statement and the statement of financial position, what is the FY2021 inventory turnover ratio for Nike? Inventory turnover ratio is defined as: (FY2021 COGS) / (average inventory between FY2020 and FY2021). Round your answer to two decimal places."
117,comparative,Cash flow activities ranking most positive,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Nike in FY2023?"
118,conceptual,Working capital relevance judgment fintech,"Does Paypal have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why."
119,direct-lookup,FY2021 capex direct cash flow extraction,What is the FY2021 capital expenditure amount (in USD billions) for PepsiCo? Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the statement of cash flows.
120,direct-lookup,Primary geographic operations identification,What are the geographies that Pepsico primarily operates in as of FY2022?
121,direct-lookup,Material ongoing legal battle disclosure,Has Pepsico reported any materially important ongoing legal battles from FY2022 and FY2021?
122,direct-lookup,FY2022 restructuring costs income statement,What is the quantity of restructuring costs directly outlined in Pepsico's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.
123,calculation,EBITDA less capex multi-step formula,What is the FY2022 unadjusted EBITDA less capex for PepsiCo? Define unadjusted EBITDA as unadjusted operating income + depreciation and amortization [from cash flow statement]. Answer in USD millions. Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the statement of cash flows and the income statement.
124,calculation,Unadjusted EBITDA percent margin calculation,What is the FY2022 unadjusted EBITDA % margin for PepsiCo? Calculate unadjusted EBITDA using unadjusted operating income and D&A (from cash flow statement). Give a response to the question by relying on the details shown in the statement of cash flows and the P&L statement.
125,direct-lookup,AGM vote outcome net-zero emissions report,"At the Pepsico AGM held on May 3, 2023, what was the outcome of the shareholder vote on the shareholder proposal for a congruency report by Pepsico on net-zero emissions policies?"
126,direct-lookup,Revolving credit facility increase amount,"By how much did Pepsico increase its unsecured five year revolving credit agreement on May 26, 2023?"
127,direct-lookup,Total revolving credit agreements capacity,"As of May 26, 2023, what is the total amount Pepsico may borrow under its unsecured revolving credit agreements?"
128,conceptual,Guidance raise reasoning driver attribution,"As of FY2023Q1, why did Pepsico raise full year guidance for FY2023?"
129,direct-lookup,EPS guidance raise percentage points amount,"As of FY2023Q1, by how many percentage points did Pepsico raise full year guidance in respect of core constant currency EPS growth?"
130,comparative,PPNE growth FY20 to FY21 comparison,Did Pfizer grow its PPNE between FY20 and FY21?
131,conceptual,Non-standard business events net income impact,Were there any potential events that are not in Pfizer's standard business operations that substantially increased net income in 2019?
132,direct-lookup,Three major company acquisitions identified,What are three main companies acquired by Pfizer mentioned in this 10K report?
133,direct-lookup,Upjohn spinoff expected cost amount,How much does Pfizer expect to pay to spin off Upjohn in the future in USD million?
134,comparative,Geographic region largest revenue drop percentage,"For Pfizer, which geographic region had the biggest drop in Q22023 year over year revenues (on a percentage basis)?"
135,direct-lookup,Large business segment spinoff identification Q2,"As of Q2'2023, is Pfizer spinning off any large business segments?"
136,direct-lookup,Registered debt securities national exchange,Which debt securities are registered to trade on a national securities exchange under Ulta Beauty's name as of FY2023?
137,direct-lookup,Major acquisitions FY2023 FY2022,What are major acquisitions that Ulta Beauty has done in FY2023 and FY2022?
138,conceptual,SGA expense reduction drivers attribution,What drove the reduction in SG&A expense as a percent of net sales in FY2023?
139,conceptual,Merchandise inventory increase drivers attribution,What drove the increase in Ulta Beauty's merchandise inventories balance at end of FY2023?
140,calculation,Stock repurchase Q4 percent total spend,What percent of Ulta Beauty's total spend on stock repurchases for FY 2023 occurred in Q4 of FY2023?
141,comparative,Wages expense percent sales FY2023 trend,Did Ulta Beauty's wages expense as a percent of net sales increase or decrease in FY2023?
142,comparative,Derivative notional value highest ranking,"Among all of the derivative instruments that Verizon used to manage the exposure to fluctuations of foreign currencies exchange rates or interest rates, which one had the highest notional value in FY 2021?"
143,direct-lookup,Retirees expected payment 2024 amount,"As of FY 2021, how much did Verizon expect to pay for its retirees in 2024?"
144,conceptual,Quick ratio liquidity assessment relevance,"Does Verizon have a reasonably healthy liquidity profile based on its quick ratio for FY 2022? If the quick ratio is not relevant to measure liquidity, please state that and explain why."
145,conceptual,Capital intensity judgment FY2022 data,Is Verizon a capital intensive business based on FY 2022 data?
146,comparative,Debt increase 2022 vs 2021 comparison,Has Verizon increased its debt on balance sheet between 2022 and the 2021 fiscal period?
147,calculation,DPO formula average payable COGS change,What is FY2018 days payable outstanding (DPO) for Walmart? DPO is defined as: 365 * (average accounts payable between FY2017 and FY2018) / (FY2018 COGS + change in inventory between FY2017 and FY2018). Round your answer to two decimal places. Please base your judgments on the information provided primarily in the statement of financial position and the P&L statement.
148,calculation,Operating income margin change FY2018-2019,"Based on the information provided primarily in the statement of income, what is the FY2018 - FY2019 change in unadjusted operating income % margin for Walmart? Answer in units of percents and round to one decimal place."
149,calculation,Three year EBITDA margin percent average,What is the FY2018 - FY2020 3 year average unadjusted EBITDA % margin for Walmart? Define unadjusted EBITDA as unadjusted operating income + depreciation and amortization from the cash flow statement. Answer in units of percents and round to one decimal place. Calculate what was asked by utilizing the line items clearly shown in the P&L statement and the cash flow statement.
